date,asset,risk_state,action,direction,entry_price,exit_price,quantity,gross_pnl,cost,net_pnl,account_balance
2023-09-08,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,177.56,178.35,56.3190,44.49,10.00,34.49,69852.27
2023-09-08,NVDA,ELEVATED,HOLD,LONG_OVERNIGHT,46.24,45.94,216.2583,-64.66,10.00,-74.66,69852.27
2023-09-08,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,251.49,251.22,39.7630,-10.74,10.00,-20.74,69852.27
2023-09-08,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,329.91,330.09,30.3113,5.46,10.00,-4.54,69852.27
2023-09-08,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,137.85,136.86,72.5426,-71.82,10.00,-81.82,69852.27
2023-09-08,META,NORMAL,HOLD,LONG_OVERNIGHT,298.67,299.22,33.4818,18.41,10.00,8.41,69852.27
2023-09-08,SPY,NORMAL,HOLD,LONG_OVERNIGHT,444.85,444.90,22.4795,1.12,10.00,-8.88,69852.27
2023-09-11,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,178.18,180.07,56.1230,106.07,10.00,96.07,70955.03
2023-09-11,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,45.57,46.15,219.4330,126.39,10.00,116.39,70955.03
2023-09-11,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,248.50,264.27,40.2414,634.61,10.00,624.61,70955.03
2023-09-11,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,334.27,337.24,29.9159,88.85,10.00,78.85,70955.03
2023-09-11,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,138.23,138.75,72.3432,37.62,10.00,27.62,70955.03
2023-09-11,META,NORMAL,HOLD,LONG_OVERNIGHT,297.89,301.41,33.5694,118.16,10.00,108.16,70955.03
2023-09-11,SPY,NORMAL,HOLD,LONG_OVERNIGHT,445.52,448.24,22.4457,61.05,10.00,51.05,70955.03
2023-09-12,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,179.36,179.49,55.7538,7.25,10.00,-2.75,70501.13
2023-09-12,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,45.18,44.74,221.3467,-97.39,10.00,-107.39,70501.13
2023-09-12,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,273.58,270.76,36.5524,-103.08,10.00,-113.08,70501.13
2023-09-12,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,337.94,335.82,29.5911,-62.73,10.00,-72.73,70501.13
2023-09-12,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,143.10,142.32,69.8812,-54.51,10.00,-64.51,70501.13
2023-09-12,META,NORMAL,HOLD,LONG_OVERNIGHT,307.56,306.33,32.5140,-39.99,10.00,-49.99,70501.13
2023-09-12,SPY,NORMAL,HOLD,LONG_OVERNIGHT,448.45,446.95,22.2990,-33.45,10.00,-43.45,70501.13
2023-09-13,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,176.30,176.51,56.7215,11.91,10.00,1.91,70474.37
2023-09-13,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,44.87,44.60,222.8661,-60.17,10.00,-70.17,70474.37
2023-09-13,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,267.48,270.07,37.3860,96.83,10.00,86.83,70474.37
2023-09-13,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,331.77,331.31,30.1414,-13.86,10.00,-23.86,70474.37
2023-09-13,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,141.23,140.95,70.8065,-19.83,10.00,-29.83,70474.37
2023-09-13,META,NORMAL,HOLD,LONG_OVERNIGHT,301.66,302.36,33.1499,23.20,10.00,13.20,70474.37
2023-09-13,SPY,NORMAL,HOLD,LONG_OVERNIGHT,445.99,446.22,22.4220,5.16,10.00,-4.84,70474.37
2023-09-14,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,174.21,174.00,57.4020,-12.05,10.00,-22.05,70715.51
2023-09-14,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,45.49,45.95,219.8527,102.23,10.00,92.23,70715.51
2023-09-14,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,271.30,271.32,36.8596,0.74,10.00,-9.26,70715.51
2023-09-14,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,336.06,339.15,29.7566,91.95,10.00,81.95,70715.51
2023-09-14,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,144.85,145.08,69.0369,15.88,10.00,5.88,70715.51
2023-09-14,META,NORMAL,HOLD,LONG_OVERNIGHT,305.06,306.74,32.7804,55.07,10.00,45.07,70715.51
2023-09-14,SPY,NORMAL,HOLD,LONG_OVERNIGHT,446.51,449.07,22.3959,57.33,10.00,47.33,70715.51
2023-09-15,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,175.74,176.48,56.9022,42.11,10.00,32.11,70421.81
2023-09-15,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,45.58,45.34,219.3897,-52.65,10.00,-62.65,70421.81
2023-09-15,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,276.04,277.55,36.2266,54.70,10.00,44.70,70421.81
2023-09-15,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,338.70,336.92,29.5247,-52.55,10.00,-62.55,70421.81
2023-09-15,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,144.72,142.69,69.0989,-140.27,10.00,-150.27,70421.81
2023-09-15,META,NORMAL,HOLD,LONG_OVERNIGHT,311.72,311.61,32.0801,-3.53,10.00,-13.53,70421.81
2023-09-15,SPY,NORMAL,HOLD,LONG_OVERNIGHT,450.36,447.14,22.2045,-71.50,10.00,-81.50,70421.81
2023-09-18,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,175.01,176.48,57.1396,84.00,10.00,74.00,69910.99
2023-09-18,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,43.90,42.75,227.7904,-262.41,10.00,-272.41,69910.99
2023-09-18,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,274.39,271.16,36.4445,-117.72,10.00,-127.72,69910.99
2023-09-18,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,330.22,327.80,30.2828,-73.28,10.00,-83.28,69910.99
2023-09-18,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,140.39,140.48,71.2301,6.41,10.00,-3.59,69910.99
2023-09-18,META,NORMAL,HOLD,LONG_OVERNIGHT,300.31,298.19,33.2989,-70.59,10.00,-80.59,69910.99
2023-09-18,SPY,NORMAL,HOLD,LONG_OVERNIGHT,443.37,443.05,22.5545,-7.22,10.00,-17.22,69910.99
2023-09-19,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,177.97,177.52,56.1892,-25.28,10.00,-35.28,69547.41
2023-09-19,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,43.97,43.83,227.4485,-30.25,10.00,-40.25,69547.41
2023-09-19,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,265.28,264.35,37.6960,-35.06,10.00,-45.06,69547.41
2023-09-19,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,329.06,326.17,30.3896,-87.83,10.00,-97.83,69547.41
2023-09-19,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,139.98,138.70,71.4388,-91.44,10.00,-101.44,69547.41
2023-09-19,META,NORMAL,HOLD,LONG_OVERNIGHT,302.55,302.48,33.0524,-2.31,10.00,-12.31,69547.41
2023-09-19,SPY,NORMAL,HOLD,LONG_OVERNIGHT,443.63,442.68,22.5413,-21.41,10.00,-31.41,69547.41
2023-09-20,AAPL,BLACKOUT,FLATTEN,FLAT,179.07,179.26,0,0.00,0.00,0.00,69547.41
2023-09-20,NVDA,BLACKOUT,FLATTEN,FLAT,43.52,43.60,0,0.00,0.00,0.00,69547.41
2023-09-20,TSLA,BLACKOUT,FLATTEN,FLAT,266.50,267.04,0,0.00,0.00,0.00,69547.41
2023-09-20,MSFT,BLACKOUT,FLATTEN,FLAT,328.65,329.51,0,0.00,0.00,0.00,69547.41
2023-09-20,AMZN,BLACKOUT,FLATTEN,FLAT,137.63,138.55,0,0.00,0.00,0.00,69547.41
2023-09-20,META,BLACKOUT,FLATTEN,FLAT,305.07,305.05,0,0.00,0.00,0.00,69547.41
2023-09-20,SPY,BLACKOUT,FLATTEN,FLAT,442.71,444.01,0,0.00,0.00,0.00,69547.41
2023-09-21,AAPL,ELEVATED,HOLD,LONG_OVERNIGHT,175.49,174.55,56.9833,-53.56,10.00,-63.56,68593.83
2023-09-21,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,42.24,41.58,236.7480,-155.31,10.00,-165.31,68593.83
2023-09-21,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,262.59,257.85,38.0822,-180.51,10.00,-190.51,68593.83
2023-09-21,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,320.77,319.26,31.1750,-47.07,10.00,-57.07,68593.83
2023-09-21,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,135.29,131.94,73.9153,-247.62,10.00,-257.62,68593.83
2023-09-21,META,NORMAL,HOLD,LONG_OVERNIGHT,299.67,295.70,33.3700,-132.48,10.00,-142.48,68593.83
2023-09-21,SPY,NORMAL,HOLD,LONG_OVERNIGHT,438.64,435.70,22.7977,-67.03,10.00,-77.03,68593.83
2023-09-22,AAPL,NORMAL,HOLD,LONG_OVERNIGHT,173.93,174.67,57.4944,42.55,10.00,32.55,69107.11
2023-09-22,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,41.02,41.57,243.8014,135.31,10.00,125.31,69107.11
2023-09-22,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,255.70,257.40,39.1083,66.48,10.00,56.48,69107.11
2023-09-22,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,319.53,321.32,31.2960,56.02,10.00,46.02,69107.11
2023-09-22,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,129.33,131.11,77.3216,137.63,10.00,127.63,69107.11
2023-09-22,META,NORMAL,HOLD,LONG_OVERNIGHT,295.73,299.30,33.8146,120.72,10.00,110.72,69107.11
2023-09-22,SPY,NORMAL,HOLD,LONG_OVERNIGHT,431.39,432.45,23.1809,24.57,10.00,14.57,69107.11
2023-09-25,AAPL,NORMAL,HOLD,LONG_OVERNIGHT,174.79,174.20,57.2115,-33.75,10.00,-43.75,68798.82
2023-09-25,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,41.61,41.59,240.3268,-4.57,10.00,-14.57,68798.82
2023-09-25,TSLA,NORMAL,HOLD,LONG_OVERNIGHT,244.88,243.38,40.8363,-61.25,10.00,-71.25,68798.82
2023-09-25,MSFT,NORMAL,HOLD,LONG_OVERNIGHT,317.01,316.59,31.5447,-13.25,10.00,-23.25,68798.82
2023-09-25,AMZN,NORMAL,HOLD,LONG_OVERNIGHT,129.12,129.36,77.4473,18.59,10.00,8.59,68798.82
2023-09-25,META,NORMAL,HOLD,LONG_OVERNIGHT,299.08,295.64,33.4359,-115.02,10.00,-125.02,68798.82
2023-09-25,SPY,NORMAL,HOLD,LONG_OVERNIGHT,430.42,429.17,23.2331,-29.04,10.00,-39.04,68798.82
2023-09-26,AAPL,NORMAL,HOLD,LONG_OVERNIGHT,176.08,174.82,56.7924,-71.56,10.00,-81.56,68101.04
2023-09-26,NVDA,NORMAL,HOLD,LONG_OVERNIGHT,42.22,42.00,236.8434,-52.34,10.00,-62.34,68101.04
